v1,fips,tot_pop,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,yooftotalpop,whitealonepop,whitealone,blackalonepop,blackalone,nativeamericanamericanindianalon,naaialone,asianalonepop,asianalone,hawaiianpacificislanderalonepop,hawaiianpialone,twoormoreracespop,twoormoreraces,pop_estimate_2018,n_pop_chg_2018,gq_estimates_2018,r_birth_2018,r_death_2018,r_natural_inc_2018,r_international_mig_2018,r_domestic_mig_2018,r_net_mig_2018,lessthanahighschooldiploma201418,highschooldiplomaonly201418,somecollegeorassociatesdegree201,bachelorsdegreeorhigher201418,percentofadultswithlessthanahigh,percentofadultswithahighschooldi,percentofadultscompletingsomecol,percentofadultswithabachelorsdeg,povall_2018,pctpovall_2018,pctpov017_2018,pctpov517_2018,medhhinc_2018,ci90lbinc_2018,ci90ubinc_2018,civilian_labor_force_2018,employed_2018,unemployed_2018,unemployment_rate_2018,median_household_income_2018,med_hh_income_percent_of_state_t,janprecipitationinch,febprecipitationinch,marprecipitationinch,aprprecipitationinch,mayprecipitationinch,junprecipitationinch,julprecipitationinch,jantempavgf,febtempavgf,martempavgf,aprtempavgf,maytempavgf,juntempavgf,jultempavgf,activephysiciansper100000populat,totalactivepatientcarephysicians,activeprimarycarephysiciansper10,activepatientcareprimarycarephys,activegeneralsurgeonsper100000po,activepatientcaregeneralsurgeons,totalnursepractitioners2019,totalphysicianassistants2019,totalhospitals2019,internalmedicineprimarycare2019,familymedicinegeneralpracticepri,totalspecialistphysicians2019,icubeds_x,totalpopulation,populationaged60,percentofpopulationaged60,_ID,_CX,_CY,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,_merge
0,1001,55601,6787,12.206615,7637,13.735365,6878,12.370281,7089,12.749771,7582,13.636445,7738,13.917016,5826,10.478229,4050,7.2840419,2014,3.622237,42660,76.725235,10915,19.630941,267,.4802072,681,1.2247981,62,.11150879,1016,1.8273053,55601,158,455,11.8,9.6000004,2.2,0,.69999999,.60000002,4204,12119,10552,10291,11.3,32.599998,28.4,27.700001,7587,13.8,19.299999,19.5,59338,53628,65048,25957,25015,942,3.5999999,59338,119,6.7800002,3.75,3.8800001,5.1700001,3.6500001,4.5700002,2.6900001,47,58.599998,56.099998,65,75.5,79.300003,81.5,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,28.859137,6.0857854,1.1489053,25.992561,21.249062,72.142151,6,55036,10523,19.1,1001,-86.6427492371143,32.53492018600159,01,001,00161526,01001,Autauga,Autauga County,06,H1,G4020,,33860,,A,1539602123,25706961,+32.5322367,-086.6464395,matched (3)
1,1003,218022,24757,11.355276,26913,12.344167,23579,10.814963,25213,11.564429,27338,12.539102,29986,13.753658,29932,13.728889,20936,9.6027002,9368,4.296814,190301,87.285225,19492,8.940382,1684,.77239913,2508,1.1503426,146,.066965722,3891,1.7846823,218022,5403,2190,10.5,10.3,.1,.5,24.299999,24.799999,14310,40579,46025,46075,9.6999998,27.6,31.299999,31.299999,21069,9.8000002,13.9,13.1,57588,54437,60739,93849,90456,3393,3.5999999,57588,115.5,3.5999999,2.8399999,2.53,6.4499998,3.75,7.1700001,6.75,52,62,59.700001,66,76.5,81.300003,82.5,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,113.16212,23.863512,4.5050745,101.92173,83.321571,282.883,51,203360,53519,26.299999,1003,-87.74984007841452,30.66096966482814,01,003,00161527,01003,Baldwin,Baldwin County,06,H1,G4020,380,19300,,A,4117546676,1133055836,+30.6592183,-087.7460666,matched (3)
2,1005,24881,2732,10.980266,2960,11.896628,3268,13.134521,3201,12.865238,3074,12.354809,3278,13.174711,3076,12.362847,2244,9.0189304,1048,4.2120495,12209,49.069572,12042,48.398376,164,.65913749,113,.45416182,46,.18488003,307,1.2338732,24881,-277,2820,10.4,12.9,-2.5,.5,-9.1000004,-8.6000004,4901,6486,4566,2220,27,35.700001,25.1,12.2,6788,30.9,43.900002,36.700001,34382,31157,37607,8373,7940,433,5.1999998,34382,68.900002,5.8600001,1.71,3.48,4.71,2.1700001,3.71,3.1800001,49,58.5,57.400002,64.900002,75.199997,79.599998,81.300003,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,12.914231,2.72334,.51412588,11.631462,9.5087833,32.283031,5,26201,6150,23.5,1005,-85.39319697554548,31.86960324478115,01,005,00161528,01005,Barbour,Barbour County,06,H1,G4020,,21640,,A,2292144655,50538698,+31.8702531,-085.4051035,matched (3)
3,1007,22400,2456,10.964286,2596,11.589286,3029,13.522322,3113,13.897322,3038,13.5625,3115,13.90625,2545,11.361608,1723,7.6919641,785,3.5044644,17211,76.834824,4770,21.294643,98,.4375,53,.23660715,26,.11607143,242,1.0803572,22400,-155,2151,11.1,11.4,-.30000001,.40000001,-7,-6.5999999,2650,7471,3846,1813,16.799999,47.299999,24.4,11.5,4400,21.799999,27.799999,26.299999,46064,41283,50845,8661,8317,344,4,46064,92.300003,6.4899998,8.0299997,2.79,5.8299999,2.4300001,4.6799998,2.0599999,45.200001,54.900002,54.200001,63.299999,73.800003,77.800003,79.900002,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,11.626493,2.4517832,.46286002,10.471635,8.5606184,29.063942,0,22580,4773,21.1,1007,-87.12643910142687,32.99864429646147,01,007,00161529,01007,Bibb,Bibb County,06,H1,G4020,142,13820,,A,1612167481,9602089,+33.0158929,-087.1271475,matched (3)
4,1009,57840,7095,12.266598,7570,13.087829,6742,11.656293,6884,11.901798,7474,12.921853,7844,13.561549,6965,12.04184,4931,8.5252419,2335,4.0369987,55456,95.878288,950,1.642462,378,.65352696,185,.31984785,70,.12102351,801,1.3848548,57840,13,489,11.8,11.4,.30000001,.1,-.2,0,7861,13489,13267,5010,19.799999,34,33.5,12.6,7527,13.2,18,15.5,50412,46157,54667,25006,24128,878,3.5,50412,101.1,7.2600002,10.42,4.4200001,6.0100002,4.1999998,4.1700001,1.9400001,43.599998,52.099998,51.799999,62.200001,72.400002,76.199997,79.800003,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,30.021267,6.3308544,1.1951706,27.039257,22.10474,75.047249,6,57667,13600,23.6,1009,-86.5673709608397,33.98086738558731,01,009,00161530,01009,Blount,Blount County,06,H1,G4020,142,13820,,A,1670103911,15015423,+33.9773575,-086.5664400,matched (3)
5,1011,10138,1198,11.816926,1130,11.146183,1395,13.760111,1446,14.263168,1274,12.566581,1356,13.37542,1219,12.024068,703,6.9343066,417,4.1132374,2661,26.24778,7168,70.704285,85,.83842969,19,.18741369,76,.74965477,129,1.2724403,10138,-38,1661,11.3,11.8,-.5,-.2,-3,-3.2,1760,2817,1582,945,24.799999,39.700001,22.299999,13.3,3610,42.5,68.300003,66.5,29267,26064,32470,4776,4552,224,4.6999998,29267,58.700001,5.0700002,1.7,3.54,5.46,3.1300001,4.6399999,3.1300001,48,58.200001,56.599998,64.300003,74.900002,79.099998,80.900002,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,5.2620263,1.1096509,.20948549,4.7393498,3.8744442,13.154029,0,10478,2371,22.6,1011,-85.7156972254422,32.10055422045833,01,011,00161531,01011,Bullock,Bullock County,06,H1,G4020,,,,A,1613059160,6054988,+32.1017589,-085.7172613,matched (3)
6,1013,19680,2351,11.946138,2461,12.505081,2286,11.615853,2337,11.875,2318,11.778456,2491,12.65752,2683,13.63313,1660,8.4349594,1093,5.5538616,10283,52.251015,8839,44.913616,74,.37601626,259,1.316057,10,.050813008,215,1.0924797,19680,-218,333,11.2,12.1,-.89999998,.89999998,-11,-10.1,2141,6091,3421,2235,15.4,43.900002,24.6,16.1,4731,24.5,36.299999,35.299999,37365,34051,40679,8914,8487,427,4.8000002,37365,74.900002,6.0599999,2.4400001,1.8,6.9400001,3.21,2.97,3.76,48.400002,59.299999,57,64.400002,75.099998,79.099998,81,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,10.214705,2.1540666,.40665558,9.200079,7.5211148,25.53475,7,20126,5151,25.6,1013,-86.68028921535775,31.75243394289445,01,013,00161532,01013,Butler,Butler County,06,H1,G4020,,,,A,2012002530,2701198,+31.7516670,-086.6819689,matched (3)
7,1015,114277,13141,11.499251,14637,12.808352,15463,13.531157,13865,12.1328,13727,12.012041,15325,13.410398,14641,12.811852,8979,7.857224,4499,3.9369252,86026,75.278488,24153,21.135487,617,.53991616,1102,.96432352,126,.11025841,2253,1.9715253,114277,-387,2739,11.3,13.1,-1.8,.60000002,-2.2,-1.6,12620,25653,26643,14219,15.9,32.400002,33.700001,18,21719,19.5,26.5,24.1,45400,41668,49132,45972,43833,2139,4.6999998,45400,91,6.7199998,8.9700003,3.6700001,4.7199998,2.6500001,6.3400002,3.8199999,44.200001,52.599998,53,63,72.900002,76.199997,79.599998,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,59.31432,12.508144,2.3613505,53.422634,43.673294,148.27411,24,115527,27115,23.5,1015,-85.82603461348064,33.77142820182571,01,015,00161533,01015,Calhoun,Calhoun County,06,H1,G4020,,11500,,A,1569189622,16627597,+33.7717061,-085.8225133,matched (3)
8,1017,33615,3869,11.509743,3812,11.340176,4380,13.029898,3734,11.108136,4078,12.131489,4761,14.16332,4492,13.363082,2972,8.8412914,1517,4.5128665,19182,57.063812,13446,40,103,.30641082,446,1.3267887,15,.044622935,423,1.2583668,33615,-143,458,10.6,13.7,-3.0999999,.60000002,-1.7,-1.1,4383,9060,7003,3118,18.6,38.400002,29.700001,13.2,6181,18.700001,30.700001,30.299999,39917,36435,43399,15276,14679,597,3.9000001,39917,80,5.8899999,2.8299999,3.28,6.9899998,3.24,6.6500001,3.49,45.599998,54.599998,53.599998,62.299999,72.699997,76.400002,79.400002,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,17.447525,3.6793165,.69459999,15.714464,12.846661,43.615376,0,33895,8501,25.1,1017,-85.39204295128886,32.91437222976551,01,017,00161534,01017,Chambers,Chambers County,06,H1,G4020,194,46740,,A,1545085607,16971701,+32.9155039,-085.3940321,matched (3)
9,1019,26032,2554,9.8110018,2981,11.451291,2852,10.955747,2504,9.6189308,3204,12.307929,3873,14.877843,3946,15.158267,2835,10.890443,1283,4.9285493,24217,93.027809,1109,4.2601414,172,.66072524,88,.33804548,8,.030731408,438,1.6825446,26032,217,290,8.3999996,13.1,-4.6999998,0,13,13,3692,7157,5417,2407,19.799999,38.299999,29,12.9,4180,16.299999,24.700001,22.200001,42132,37915,46349,11622,11207,415,3.5999999,42132,84.5,6.9699998,10.82,4.4000001,5.2600002,3.4100001,4.46,3.97,43,51.5,51.700001,62.5,72.699997,75.699997,79.400002,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,13.511646,2.8493223,.53790945,12.169536,9.9486618,33.776451,0,25855,7513,29.1,1019,-85.60379371556719,34.17595596788473,01,019,00161535,01019,Cherokee,Cherokee County,06,H1,G4020,,,,A,1433623321,120308339,+34.0695153,-085.6542417,matched (3)
10,1021,44153,5652,12.800942,5818,13.176908,5566,12.606165,5233,11.85197,5655,12.807736,5932,13.435101,5359,12.137341,3334,7.5510159,1604,3.6328223,38459,87.103935,4579,10.370756,250,.56621295,215,.48694313,77,.17439358,573,1.29776,44153,36,393,11.9,11.5,.5,.60000002,-.1,.40000001,5302,13125,7147,4219,17.799999,44.099998,24,14.2,7542,17.299999,23.299999,22.700001,47547,42940,52154,19476,18773,703,3.5999999,47547,95.300003,6.6100001,5.48,3.48,5.3099999,2.6700001,4.1500001,2.3299999,45.299999,55.799999,54.5,63.700001,74.099998,77.900002,80.400002,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,22.917168,4.8327494,.91235077,20.640808,16.873974,57.288403,6,43805,9429,21.5,1021,-86.71881367203281,32.84785321201986,01,021,00161536,01021,Chilton,Chilton County,06,H1,G4020,142,13820,,A,1794477075,20592144,+32.8540514,-086.7266071,matched (3)
11,1023,12841,1324,10.310723,1489,11.59567,1402,10.918153,1289,10.038159,1478,11.510007,1947,15.162371,1824,14.204501,1371,10.676739,717,5.5836773,7343,57.184021,5355,41.702358,24,.18690133,23,.17911378,0,0,96,.74760532,12841,-94,129,10.4,13.7,-3.3,-.2,-3.9000001,-4,1754,3606,2851,1225,18.6,38.200001,30.200001,13,2806,22.1,32.099998,29.200001,39907,36327,43487,4694,4434,260,5.5,39907,80,5.7600002,5.4400001,3.72,7.25,4.46,3.3199999,5.1100001,48,58.700001,57.099998,63.400002,74.800003,78.900002,81.199997,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,6.6649914,1.4055066,.26533863,6.0029583,4.9074512,16.661165,0,13188,3759,28.5,1023,-88.26320127428897,32.01961078309694,01,023,00161537,01023,Choctaw,Choctaw County,06,H1,G4020,,,,A,2365869835,19144469,+31.9909539,-088.2488894,matched (3)
12,1025,23920,2704,11.304348,3045,12.729933,2911,12.169732,2557,10.689799,2871,12.002508,3419,14.293478,2996,12.525084,2220,9.2809362,1197,5.0041804,12781,53.432274,10674,44.623745,126,.52675587,104,.43478259,5,.02090301,230,.96153843,23920,-177,280,11.1,12.8,-1.7,-.1,-5.5,-5.5999999,3175,7372,4205,2118,18.799999,43.700001,24.9,12.6,5381,22.799999,31.700001,31.4,40741,36839,44643,7627,7057,570,7.5,40741,81.699997,5.8699999,3.5699999,3.76,6.1900001,2.98,2.8499999,4.29,49.200001,60.900002,57.900002,63.799999,74.900002,78.599998,81.400002,217.10001,196.7,77.199997,71.199997,7.5999999,6.9000001,12.415434,2.6181543,.49426836,11.18221,9.1415176,31.036139,0,24625,6134,24.9,1025,-87.83080985066189,31.67665958016798,01,025,00161538,01025,Clarke,Clarke County,06,H1,G4020,,,,A,3207494111,36657891,+31.6855211,-087.8186244,matched (3)
