,AREA_NAME,FIPS,STATE,>50 gatherings,>50 gatherings rollback Duration,>500 gatherings,>500 gatherings rollback Duration,entertainment/gym,entertainment/gym rollback Duration,federal guidelines,foreign travel ban,public schools,restaurant dine-in,restaurant dine-in rollback Duration,stay at home,stay at home rollback Duration
0,alabama,1000,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
1,autauga county,1001,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
2,baldwin county,1003,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
3,barbour county,1005,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
4,bibb county,1007,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
5,blount county,1009,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
6,bullock county,1011,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
7,butler county,1013,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
8,calhoun county,1015,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
9,chambers county,1017,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
10,cherokee county,1019,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
11,chilton county,1021,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
12,choctaw county,1023,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
13,clarke county,1025,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
14,clay county,1027,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
15,cleburne county,1029,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
16,coffee county,1031,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
17,colbert county,1033,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
18,conecuh county,1035,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
19,coosa county,1037,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
20,covington county,1039,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
21,crenshaw county,1041,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
22,cullman county,1043,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
23,dale county,1045,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
24,dallas county,1047,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
25,dekalb county,1049,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
26,elmore county,1051,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
27,escambia county,1053,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
28,etowah county,1055,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
29,fayette county,1057,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
30,franklin county,1059,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
31,geneva county,1061,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
32,greene county,1063,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
33,hale county,1065,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
34,henry county,1067,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
35,houston county,1069,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
36,jackson county,1071,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
37,jefferson county,1073,AL,9,-999,2,-999,17,44,5,0,5,8,53,15,35
38,lamar county,1075,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
39,lauderdale county,1077,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
40,lawrence county,1079,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
41,lee county,1081,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
42,limestone county,1083,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
43,lowndes county,1085,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
44,macon county,1087,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
45,madison county,1089,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
46,marengo county,1091,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
47,marion county,1093,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
48,marshall county,1095,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
49,mobile county,1097,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
50,monroe county,1099,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
51,montgomery county,1101,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
52,morgan county,1103,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
53,perry county,1105,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
54,pickens county,1107,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
55,pike county,1109,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
56,randolph county,1111,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
57,russell county,1113,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
58,st. clair county,1115,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
59,shelby county,1117,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
60,sumter county,1119,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
61,talladega county,1121,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
62,tallapoosa county,1123,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
63,tuscaloosa county,1125,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
64,walker county,1127,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
65,washington county,1129,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
66,wilcox county,1131,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
67,winston county,1133,AL,9,-999,2,-999,17,44,5,0,5,8,53,24,26
68,alaska,2000,AK,13,45,13,59,6,66,5,0,8,6,66,17,27
69,aleutians east borough,2013,AK,13,45,13,59,6,66,5,0,8,6,66,17,27
70,aleutians west census area,2016,AK,13,45,13,59,6,66,5,0,8,6,66,17,27
71,anchorage municipality,2020,AK,11,47,11,61,6,66,5,0,8,6,66,11,33
