,fips,TOT_POP,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,COUNTY_NAME,county_pop2018_18 and older,anycondition_number,Obesity_number,Heart disease_number,COPD_number,diabetes_number,CKD_number,Urban_rural_code
0,1001,55601,6787,7637,6878,7089,7582,7738,5826,4050,2014,42660,10915,267,681,62,1016,55601,158.0,455.0,11.8,9.6,2.2,0.0,0.7,0.6,4204,12119,10552,10291,11.3,32.6,28.4,27.7,7587.0,13.8,19.3,19.5,59338.0,53628.0,65048.0,25957.0,25015.0,942.0,3.6,59338.0,119.0,217.1,196.7,77.2,71.2,7.6,6.9,28.85913663,6.085785611,1.148905321,25.99256097,21.24906079,72.14215392,6.0,55036,10523,Autauga,42438,20181,15193,3345,3644,5462,1326,3
1,1003,218022,24757,26913,23579,25213,27338,29986,29932,20936,9368,190301,19492,1684,2508,146,3891,218022,5403.0,2190.0,10.5,10.3,0.1,0.5,24.3,24.8,14310,40579,46025,46075,9.7,27.6,31.3,31.3,21069.0,9.8,13.9,13.1,57588.0,54437.0,60739.0,93849.0,90456.0,3393.0,3.6,57588.0,115.5,217.1,196.7,77.2,71.2,7.6,6.9,113.1621137,23.86351236,4.505074295,101.9217303,83.32157211,282.882982,51.0,203360,53519,Baldwin,170912,68790,50761,13414,14692,20520,5479,4
2,1005,24881,2732,2960,3268,3201,3074,3278,3076,2244,1048,12209,12042,164,113,46,307,24881,-277.0,2820.0,10.4,12.9,-2.5,0.5,-9.1,-8.6,4901,6486,4566,2220,27.0,35.7,25.1,12.2,6788.0,30.9,43.9,36.7,34382.0,31157.0,37607.0,8373.0,7940.0,433.0,5.2,34382.0,68.9,217.1,196.7,77.2,71.2,7.6,6.9,12.91423137,2.72334008,0.514125884,11.63146184,9.508783681,32.28303325,5.0,26201,6150,Barbour,19689,11325,8013,2159,2373,3870,887,6
3,1007,22400,2456,2596,3029,3113,3038,3115,2545,1723,785,17211,4770,98,53,26,242,22400,-155.0,2151.0,11.1,11.4,-0.3,0.4,-7.0,-6.6,2650,7471,3846,1813,16.8,47.3,24.4,11.5,4400.0,21.8,27.8,26.3,46064.0,41283.0,50845.0,8661.0,8317.0,344.0,4.0,46064.0,92.3,217.1,196.7,77.2,71.2,7.6,6.9,11.62649342,2.4517832,0.462860006,10.47163479,8.560618723,29.06394215,0.0,22580,4773,Bibb,17813,9190,6894,1533,1789,2511,595,2
4,1009,57840,7095,7570,6742,6884,7474,7844,6965,4931,2335,55456,950,378,185,70,801,57840,13.0,489.0,11.8,11.4,0.3,0.1,-0.2,0.0,7861,13489,13267,5010,19.8,34.0,33.5,12.6,7527.0,13.2,18.0,15.5,50412.0,46157.0,54667.0,25006.0,24128.0,878.0,3.5,50412.0,101.1,217.1,196.7,77.2,71.2,7.6,6.9,30.02126693,6.330854476,1.195170658,27.03925697,22.10474049,75.04725063,6.0,57667,13600,Blount,44448,20584,15112,4101,4661,6017,1507,2
5,1011,10138,1198,1130,1395,1446,1274,1356,1219,703,417,2661,7168,85,19,76,129,10138,-38.0,1661.0,11.3,11.8,-0.5,-0.2,-3.0,-3.2,1760,2817,1582,945,24.8,39.7,22.3,13.3,3610.0,42.5,68.3,66.5,29267.0,26064.0,32470.0,4776.0,4552.0,224.0,4.7,29267.0,58.7,217.1,196.7,77.2,71.2,7.6,6.9,5.262026351,1.109650807,0.209485479,4.739349709,3.874444313,13.15402882,0.0,10478,2371,Bullock,8001,4853,3664,804,873,1651,360,6
6,1013,19680,2351,2461,2286,2337,2318,2491,2683,1660,1093,10283,8839,74,259,10,215,19680,-218.0,333.0,11.2,12.1,-0.9,0.9,-11.0,-10.1,2141,6091,3421,2235,15.4,43.9,24.6,16.1,4731.0,24.5,36.3,35.3,37365.0,34051.0,40679.0,8914.0,8487.0,427.0,4.8,37365.0,74.9,217.1,196.7,77.2,71.2,7.6,6.9,10.21470493,2.154066668,0.406655577,9.200079135,7.521115021,25.53474918,7.0,20126,5151,Butler,15302,8891,6304,1588,1741,2841,662,6
7,1015,114277,13141,14637,15463,13865,13727,15325,14641,8979,4499,86026,24153,617,1102,126,2253,114277,-387.0,2739.0,11.3,13.1,-1.8,0.6,-2.2,-1.6,12620,25653,26643,14219,15.9,32.4,33.7,18.0,21719.0,19.5,26.5,24.1,45400.0,41668.0,49132.0,45972.0,43833.0,2139.0,4.7,45400.0,91.0,217.1,196.7,77.2,71.2,7.6,6.9,59.3143209,12.50814414,2.361350576,53.42263431,43.6732958,148.2741124,24.0,115527,27115,Calhoun,89582,48041,36639,8146,9158,13182,3204,4
8,1017,33615,3869,3812,4380,3734,4078,4761,4492,2972,1517,19182,13446,103,446,15,423,33615,-143.0,458.0,10.6,13.7,-3.1,0.6,-1.7,-1.1,4383,9060,7003,3118,18.6,38.4,29.7,13.2,6181.0,18.7,30.7,30.3,39917.0,36435.0,43399.0,15276.0,14679.0,597.0,3.9,39917.0,80.0,217.1,196.7,77.2,71.2,7.6,6.9,17.44752572,3.679316619,0.69459996,15.71446444,12.84666064,43.61537569,0.0,33895,8501,Chambers,26623,14836,10410,2618,2870,4664,1068,5
9,1019,26032,2554,2981,2852,2504,3204,3873,3946,2835,1283,24217,1109,172,88,8,438,26032,217.0,290.0,8.4,13.1,-4.7,0.0,13.0,13.0,3692,7157,5417,2407,19.8,38.3,29.0,12.9,4180.0,16.3,24.7,22.2,42132.0,37915.0,46349.0,11622.0,11207.0,415.0,3.6,42132.0,84.5,217.1,196.7,77.2,71.2,7.6,6.9,13.51164628,2.849322333,0.53790945,12.16953557,9.948661902,33.77645277,0.0,25855,7513,Cherokee,21042,11769,8227,2282,2540,3353,814,6
